,tsne_X,tsne_Y,N,cluster,pos
0,48.748619079589844,18.076168060302734,2.0,6.0,"[0.91765114 0.65087723 0.90172938 0.65555408 0.87847971 0.66259083
 0.84884914 0.65706062 0.828293   0.65648086 0.80194861 0.66002782
 0.77887969 0.65957955 0.75930377 0.65696846 0.7338517  0.66046998
 0.71183954 0.65989212 0.68740414 0.65747663 0.66489268 0.65883821
 0.64659726 0.66589315 0.62567398 0.66719361 0.60675205 0.67037363
 0.58978176 0.67345073 0.57431468 0.66836326 0.56537496 0.66485745
 0.55239774 0.66767808 0.54567747 0.66604883 0.81191686 0.62721366
 0.78910932 0.63035022 0.7659083  0.63161124 0.74060719 0.63685844
 0.71894702 0.64195416 0.69692225 0.64515909 0.67462338 0.6484039
 0.65400823 0.64959337 0.63536285 0.6526612  0.61864132 0.65563617
 0.59987474 0.66277077 0.58283178 0.66582037 0.57214775 0.66849674
 0.56179011 0.6772496  0.54971637 0.69427927 0.54532758 0.69457887
 0.53336931 0.68110671 0.52517519 0.69186558 0.51932079 0.70453903
 0.50366416 0.70564254]"
1,48.04299545288086,19.52170753479004,2.0,6.0,"[0.90172938 0.65555408 0.87847971 0.66259083 0.84884914 0.65706062
 0.828293   0.65648086 0.80194861 0.66002782 0.77887969 0.65957955
 0.75930377 0.65696846 0.7338517  0.66046998 0.71183954 0.65989212
 0.68740414 0.65747663 0.66489268 0.65883821 0.64659726 0.66589315
 0.62567398 0.66719361 0.60675205 0.67037363 0.58978176 0.67345073
 0.57431468 0.66836326 0.56537496 0.66485745 0.55239774 0.66767808
 0.54567747 0.66604883 0.53034453 0.66902422 0.78910932 0.63035022
 0.7659083  0.63161124 0.74060719 0.63685844 0.71894702 0.64195416
 0.69692225 0.64515909 0.67462338 0.6484039  0.65400823 0.64959337
 0.63536285 0.6526612  0.61864132 0.65563617 0.59987474 0.66277077
 0.58283178 0.66582037 0.57214775 0.66849674 0.56179011 0.6772496
 0.54971637 0.69427927 0.54532758 0.69457887 0.53336931 0.68110671
 0.52517519 0.69186558 0.51932079 0.70453903 0.50366416 0.70564254
 0.48816071 0.71085915]"
2,-4.0666279792785645,10.153679847717285,2.0,14.0,"[0.24351845 0.54188073 0.27228533 0.5456275  0.30025485 0.54490869
 0.32960506 0.53537481 0.36168302 0.534623   0.39066118 0.53178213
 0.41921326 0.52898302 0.44984014 0.5282999  0.48212814 0.52546872
 0.5094922  0.52487388 0.53882145 0.5263152  0.56974478 0.52562547
 0.59811939 0.52703738 0.62593048 0.52640131 0.65540579 0.52572719
 0.68677155 0.53099063 0.71534867 0.53226496 0.74345888 0.53351848
 0.7769621  0.53459806 0.80607809 0.53768018 0.2518376  0.57742664
 0.28004805 0.57647873 0.30785919 0.57554423 0.33757703 0.5723638
 0.36945626 0.57131057 0.39825773 0.5682108  0.42663747 0.56515643
 0.4570804  0.56418498 0.4868925  0.56113434 0.51412909 0.56028056
 0.54969836 0.55710116 0.58038207 0.55615664 0.6085377  0.55732116
 0.6361375  0.556456   0.6653911  0.555539   0.70099898 0.56826242
 0.72927792 0.5692236  0.75709774 0.57016919 0.78657698 0.57487209
 0.81545286 0.57758787]"
3,44.58806228637695,-20.252790451049805,3.0,41.0,"[0.87847971 0.66259083 0.84884914 0.65706062 0.828293   0.65648086
 0.80194861 0.66002782 0.77887969 0.65957955 0.75930377 0.65696846
 0.7338517  0.66046998 0.71183954 0.65989212 0.68740414 0.65747663
 0.66489268 0.65883821 0.64659726 0.66589315 0.62567398 0.66719361
 0.60675205 0.67037363 0.58978176 0.67345073 0.57431468 0.66836326
 0.56537496 0.66485745 0.55239774 0.66767808 0.54567747 0.66604883
 0.53034453 0.66902422 0.51223205 0.66601317 0.7659083  0.63161124
 0.74060719 0.63685844 0.71894702 0.64195416 0.69692225 0.64515909
 0.67462338 0.6484039  0.65400823 0.64959337 0.63536285 0.6526612
 0.61864132 0.65563617 0.59987474 0.66277077 0.58283178 0.66582037
 0.57214775 0.66849674 0.56179011 0.6772496  0.54971637 0.69427927
 0.54532758 0.69457887 0.53336931 0.68110671 0.52517519 0.69186558
 0.51932079 0.70453903 0.50366416 0.70564254 0.48816071 0.71085915
 0.46781609 0.71438807 0.91251795 0.60705927 0.88927071 0.61192032
 0.86195371 0.61517001 0.83403214 0.6147066  0.80943702 0.61404556
 0.7828102  0.61920633 0.75754942 0.62049463 0.73380209 0.6197623
 0.70790919 0.62302629 0.68571799 0.62612789 0.65889263 0.62552613
 0.63596514 0.62669544 0.612859   0.62988443 0.58908632 0.62706189
 0.56934546 0.6239853  0.54523392 0.62517453 0.5188391  0.63060522
 0.49603975 0.6276009  0.48025445 0.63046572 0.46233096 0.63764551]"
4,-2.7721850872039795,11.485758781433105,2.0,14.0,"[0.27228533 0.5456275  0.30025485 0.54490869 0.32960506 0.53537481
 0.36168302 0.534623   0.39066118 0.53178213 0.41921326 0.52898302
 0.44984014 0.5282999  0.48212814 0.52546872 0.5094922  0.52487388
 0.53882145 0.5263152  0.56974478 0.52562547 0.59811939 0.52703738
 0.62593048 0.52640131 0.65540579 0.52572719 0.68677155 0.53099063
 0.71534867 0.53226496 0.74345888 0.53351848 0.7769621  0.53459806
 0.80607809 0.53768018 0.83100524 0.5427217  0.28004805 0.57647873
 0.30785919 0.57554423 0.33757703 0.5723638  0.36945626 0.57131057
 0.39825773 0.5682108  0.42663747 0.56515643 0.4570804  0.56418498
 0.4868925  0.56113434 0.51412909 0.56028056 0.54969836 0.55710116
 0.58038207 0.55615664 0.6085377  0.55732116 0.6361375  0.556456
 0.6653911  0.555539   0.70099898 0.56826242 0.72927792 0.5692236
 0.75709774 0.57016919 0.78657698 0.57487209 0.81545286 0.57758787
 0.84017519 0.58229692]"
5,44.892799377441406,-18.84687614440918,3.0,41.0,"[0.84884914 0.65706062 0.828293   0.65648086 0.80194861 0.66002782
 0.77887969 0.65957955 0.75930377 0.65696846 0.7338517  0.66046998
 0.71183954 0.65989212 0.68740414 0.65747663 0.66489268 0.65883821
 0.64659726 0.66589315 0.62567398 0.66719361 0.60675205 0.67037363
 0.58978176 0.67345073 0.57431468 0.66836326 0.56537496 0.66485745
 0.55239774 0.66767808 0.54567747 0.66604883 0.53034453 0.66902422
 0.51223205 0.66601317 0.4963357  0.66489784 0.74060719 0.63685844
 0.71894702 0.64195416 0.69692225 0.64515909 0.67462338 0.6484039
 0.65400823 0.64959337 0.63536285 0.6526612  0.61864132 0.65563617
 0.59987474 0.66277077 0.58283178 0.66582037 0.57214775 0.66849674
 0.56179011 0.6772496  0.54971637 0.69427927 0.54532758 0.69457887
 0.53336931 0.68110671 0.52517519 0.69186558 0.51932079 0.70453903
 0.50366416 0.70564254 0.48816071 0.71085915 0.46781609 0.71438807
 0.4447856  0.71604959 0.88927071 0.61192032 0.86195371 0.61517001
 0.83403214 0.6147066  0.80943702 0.61404556 0.7828102  0.61920633
 0.75754942 0.62049463 0.73380209 0.6197623  0.70790919 0.62302629
 0.68571799 0.62612789 0.65889263 0.62552613 0.63596514 0.62669544
 0.612859   0.62988443 0.58908632 0.62706189 0.56934546 0.6239853
 0.54523392 0.62517453 0.5188391  0.63060522 0.49603975 0.6276009
 0.48025445 0.63046572 0.46233096 0.63764551 0.44596456 0.63638548]"
6,-2.946906566619873,11.618877410888672,2.0,14.0,"[0.30025485 0.54490869 0.32960506 0.53537481 0.36168302 0.534623
 0.39066118 0.53178213 0.41921326 0.52898302 0.44984014 0.5282999
 0.48212814 0.52546872 0.5094922  0.52487388 0.53882145 0.5263152
 0.56974478 0.52562547 0.59811939 0.52703738 0.62593048 0.52640131
 0.65540579 0.52572719 0.68677155 0.53099063 0.71534867 0.53226496
 0.74345888 0.53351848 0.7769621  0.53459806 0.80607809 0.53768018
 0.83100524 0.5427217  0.85748233 0.54951757 0.30785919 0.57554423
 0.33757703 0.5723638  0.36945626 0.57131057 0.39825773 0.5682108
 0.42663747 0.56515643 0.4570804  0.56418498 0.4868925  0.56113434
 0.51412909 0.56028056 0.54969836 0.55710116 0.58038207 0.55615664
 0.6085377  0.55732116 0.6361375  0.556456   0.6653911  0.555539
 0.70099898 0.56826242 0.72927792 0.5692236  0.75709774 0.57016919
 0.78657698 0.57487209 0.81545286 0.57758787 0.84017519 0.58229692
 0.86643605 0.58872871]"
7,44.6309700012207,-18.10323715209961,3.0,41.0,"[0.828293   0.65648086 0.80194861 0.66002782 0.77887969 0.65957955
 0.75930377 0.65696846 0.7338517  0.66046998 0.71183954 0.65989212
 0.68740414 0.65747663 0.66489268 0.65883821 0.64659726 0.66589315
 0.62567398 0.66719361 0.60675205 0.67037363 0.58978176 0.67345073
 0.57431468 0.66836326 0.56537496 0.66485745 0.55239774 0.66767808
 0.54567747 0.66604883 0.53034453 0.66902422 0.51223205 0.66601317
 0.4963357  0.66489784 0.48000746 0.65963301 0.71894702 0.64195416
 0.69692225 0.64515909 0.67462338 0.6484039  0.65400823 0.64959337
 0.63536285 0.6526612  0.61864132 0.65563617 0.59987474 0.66277077
 0.58283178 0.66582037 0.57214775 0.66849674 0.56179011 0.6772496
 0.54971637 0.69427927 0.54532758 0.69457887 0.53336931 0.68110671
 0.52517519 0.69186558 0.51932079 0.70453903 0.50366416 0.70564254
 0.48816071 0.71085915 0.46781609 0.71438807 0.4447856  0.71604959
 0.42115603 0.71355723 0.86195371 0.61517001 0.83403214 0.6147066
 0.80943702 0.61404556 0.7828102  0.61920633 0.75754942 0.62049463
 0.73380209 0.6197623  0.70790919 0.62302629 0.68571799 0.62612789
 0.65889263 0.62552613 0.63596514 0.62669544 0.612859   0.62988443
 0.58908632 0.62706189 0.56934546 0.6239853  0.54523392 0.62517453
 0.5188391  0.63060522 0.49603975 0.6276009  0.48025445 0.63046572
 0.46233096 0.63764551 0.44596456 0.63638548 0.4291384  0.63090062]"
8,-3.7541329860687256,12.086395263671875,2.0,14.0,"[0.32960506 0.53537481 0.36168302 0.534623   0.39066118 0.53178213
 0.41921326 0.52898302 0.44984014 0.5282999  0.48212814 0.52546872
 0.5094922  0.52487388 0.53882145 0.5263152  0.56974478 0.52562547
 0.59811939 0.52703738 0.62593048 0.52640131 0.65540579 0.52572719
 0.68677155 0.53099063 0.71534867 0.53226496 0.74345888 0.53351848
 0.7769621  0.53459806 0.80607809 0.53768018 0.83100524 0.5427217
 0.85748233 0.54951757 0.88470719 0.5392822  0.33757703 0.5723638
 0.36945626 0.57131057 0.39825773 0.5682108  0.42663747 0.56515643
 0.4570804  0.56418498 0.4868925  0.56113434 0.51412909 0.56028056
 0.54969836 0.55710116 0.58038207 0.55615664 0.6085377  0.55732116
 0.6361375  0.556456   0.6653911  0.555539   0.70099898 0.56826242
 0.72927792 0.5692236  0.75709774 0.57016919 0.78657698 0.57487209
 0.81545286 0.57758787 0.84017519 0.58229692 0.86643605 0.58872871
 0.8940049  0.59311721]"
9,44.2011833190918,-18.031587600708008,3.0,41.0,"[0.80194861 0.66002782 0.77887969 0.65957955 0.75930377 0.65696846
 0.7338517  0.66046998 0.71183954 0.65989212 0.68740414 0.65747663
 0.66489268 0.65883821 0.64659726 0.66589315 0.62567398 0.66719361
 0.60675205 0.67037363 0.58978176 0.67345073 0.57431468 0.66836326
 0.56537496 0.66485745 0.55239774 0.66767808 0.54567747 0.66604883
 0.53034453 0.66902422 0.51223205 0.66601317 0.4963357  0.66489784
 0.48000746 0.65963301 0.46686052 0.66873216 0.69692225 0.64515909
 0.67462338 0.6484039  0.65400823 0.64959337 0.63536285 0.6526612
 0.61864132 0.65563617 0.59987474 0.66277077 0.58283178 0.66582037
 0.57214775 0.66849674 0.56179011 0.6772496  0.54971637 0.69427927
 0.54532758 0.69457887 0.53336931 0.68110671 0.52517519 0.69186558
 0.51932079 0.70453903 0.50366416 0.70564254 0.48816071 0.71085915
 0.46781609 0.71438807 0.4447856  0.71604959 0.42115603 0.71355723
 0.4018037  0.7086002  0.83403214 0.6147066  0.80943702 0.61404556
 0.7828102  0.61920633 0.75754942 0.62049463 0.73380209 0.6197623
 0.70790919 0.62302629 0.68571799 0.62612789 0.65889263 0.62552613
 0.63596514 0.62669544 0.612859   0.62988443 0.58908632 0.62706189
 0.56934546 0.6239853  0.54523392 0.62517453 0.5188391  0.63060522
 0.49603975 0.6276009  0.48025445 0.63046572 0.46233096 0.63764551
 0.44596456 0.63638548 0.4291384  0.63090062 0.41230795 0.62748059]"
