,tsne_X,tsne_Y,pos,kmeans,frames,plotPos
0,-27.90387,23.19086,"[-0.01640646  0.00487936 -0.02395744  0.00734146 -0.03053259 -0.00576968
 -0.02118192 -0.00060487 -0.02714637  0.00370055 -0.02377119 -0.00046768
 -0.02017186 -0.00272416 -0.02350184  0.00327239 -0.02390732  0.00131562
 -0.02607133  0.00547441 -0.02231955  0.00531637 -0.02269525  0.00334371
 -0.0229777   0.00338533 -0.02124272  0.00124097]",18,"['ETH', 834, 840, 846, 852, 858, 864, 870, 876]","[0.92157717 0.6422727  0.90517071 0.64715206 0.88121327 0.65449353
 0.85068068 0.64872384 0.82949876 0.64811898 0.8023524  0.65181953
 0.7785812  0.65135185 0.75840935 0.64862769 0.81262409 0.61758445
 0.78912225 0.62085683 0.76521493 0.62217246 0.7391436  0.62764687
 0.71682405 0.63296324 0.6941288  0.63630695 0.6711511  0.63969228
 0.64990838 0.64093325]"
1,-28.38423,24.158527,"[-0.02395744  0.00734146 -0.03053259 -0.00576968 -0.02118192 -0.00060487
 -0.02714637  0.00370055 -0.02377119 -0.00046768 -0.02017186 -0.00272416
 -0.02622689  0.00365315 -0.02390732  0.00131562 -0.02607133  0.00547441
 -0.02231955  0.00531637 -0.02269525  0.00334371 -0.0229777   0.00338533
 -0.02124272  0.00124097 -0.01921298  0.00320068]",18,"['ETH', 840, 846, 852, 858, 864, 870, 876, 882]","[0.90517071 0.64715206 0.88121327 0.65449353 0.85068068 0.64872384
 0.82949876 0.64811898 0.8023524  0.65181953 0.7785812  0.65135185
 0.75840935 0.64862769 0.73218246 0.65228084 0.78912225 0.62085683
 0.76521493 0.62217246 0.7391436  0.62764687 0.71682405 0.63296324
 0.6941288  0.63630695 0.6711511  0.63969228 0.64990838 0.64093325
 0.6306954  0.64413393]"
2,3.0206563,-46.539677,"[-0.02607133  0.00547441 -0.02231955  0.00531637 -0.02269525  0.00334371
 -0.0229777   0.00338533 -0.02124272  0.00124097 -0.01921298  0.00320068
 -0.01723057  0.00310379  0.02906924 -0.00098896  0.02865777 -0.00097496
  0.03062252 -0.00331816  0.03284971 -0.00109884  0.02967825 -0.00323399
  0.02924368 -0.00318663  0.03136969 -0.00101352]",19,"['ETH', 846, 852, 858, 864, 870, 876, 882, 888]","[0.76521493 0.62217246 0.7391436  0.62764687 0.71682405 0.63296324
 0.6941288  0.63630695 0.6711511  0.63969228 0.64990838 0.64093325
 0.6306954  0.64413393 0.61346483 0.64723771 0.23549479 0.56564156
 0.26456402 0.5646526  0.2932218  0.56367763 0.32384431 0.56035948
 0.35669402 0.55926064 0.38637227 0.55602665 0.41561595 0.55284002
 0.44698564 0.5518265 ]"
3,30.2091,46.4823,"[ 0.02865777 -0.00097496  0.03062252 -0.00331816  0.03284971 -0.00109884
  0.02967825 -0.00323399  0.02924368 -0.00318663  0.03136969 -0.00101352
  0.03071964 -0.00318274  0.02882097 -0.00074994  0.03024369 -0.00994671
  0.03305449 -0.00078436  0.02986031 -0.00296389  0.02942127 -0.00292031
  0.03155924 -0.0007127   0.03327092 -0.00295377]",11,"['ETH', 852, 858, 864, 870, 876, 882, 888, 894]","[0.26456402 0.5646526  0.2932218  0.56367763 0.32384431 0.56035948
 0.35669402 0.55926064 0.38637227 0.55602665 0.41561595 0.55284002
 0.44698564 0.5518265  0.47770528 0.54864376 0.256565   0.53246544
 0.28538597 0.53171551 0.31562966 0.52176879 0.34868415 0.52098443
 0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376]"
4,53.347607,-17.038816,"[ 0.03024369 -0.00994671  0.03305449 -0.00078436  0.02986031 -0.00296389
  0.02942127 -0.00292031  0.03155924 -0.0007127   0.03327092 -0.00295377
  0.02819708 -0.00062061 -0.02714637  0.00370055 -0.02377119 -0.00046768
 -0.02017186 -0.00272416 -0.02622689  0.00365315 -0.02268226 -0.00060288
 -0.02517926 -0.00252009 -0.02319676  0.00142054]",9,"['ETH', 858, 864, 870, 876, 882, 888, 894, 900]","[0.28538597 0.53171551 0.31562966 0.52176879 0.34868415 0.52098443
 0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376 0.50099297 0.51081315 0.82949876 0.64811898
 0.8023524  0.65181953 0.7785812  0.65135185 0.75840935 0.64862769
 0.73218246 0.65228084 0.7095002  0.65167796 0.68432094 0.64915787
 0.66112418 0.65057841]"
5,3.3861625,-46.24486,"[-0.0229777   0.00338533 -0.02124272  0.00124097 -0.01921298  0.00320068
 -0.01723057  0.00310379 -0.01933788  0.00744354 -0.01756178  0.00318165
 -0.01100928  0.00279227  0.03305449 -0.00078436  0.02986031 -0.00296389
  0.02942127 -0.00292031  0.03155924 -0.0007127   0.03327092 -0.00295377
  0.02819708 -0.00062061  0.03022209  0.00150374]",19,"['ETH', 864, 870, 876, 882, 888, 894, 900, 906]","[0.6941288  0.63630695 0.6711511  0.63969228 0.64990838 0.64093325
 0.6306954  0.64413393 0.61346483 0.64723771 0.59412695 0.65468125
 0.57656516 0.65786291 0.56555588 0.66065517 0.31562966 0.52176879
 0.34868415 0.52098443 0.37854446 0.51802054 0.40796573 0.51510023
 0.43952497 0.51438753 0.47279588 0.51143376 0.50099297 0.51081315
 0.53121506 0.51231689]"
6,30.035374,46.66997,"[ 0.02967825 -0.00323399  0.02924368 -0.00318663  0.03136969 -0.00101352
  0.03071964 -0.00318274  0.02806573 -0.00089075  0.03665208 -0.00331707
  0.03161778 -0.00098542  0.02986031 -0.00296389  0.02942127 -0.00292031
  0.03155924 -0.0007127   0.03327092 -0.00295377  0.02819708 -0.00062061
  0.03022209  0.00150374  0.0318647  -0.00071961]",11,"['ETH', 870, 876, 882, 888, 894, 900, 906, 912]","[0.35669402 0.55926064 0.38637227 0.55602665 0.41561595 0.55284002
 0.44698564 0.5518265  0.47770528 0.54864376 0.50577101 0.54775302
 0.54242309 0.54443594 0.57404087 0.54345052 0.34868415 0.52098443
 0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376 0.50099297 0.51081315 0.53121506 0.51231689
 0.56307976 0.51159729]"
7,53.56261,-17.003433,"[ 0.02924368 -0.00318663  0.03136969 -0.00101352  0.03071964 -0.00318274
  0.02806573 -0.00089075  0.03665208 -0.00331707  0.03161778 -0.00098542
  0.02901275  0.00121495 -0.02622689  0.00365315 -0.02268226 -0.00060288
 -0.02517926 -0.00252009 -0.02319676  0.00142054 -0.01885238  0.00736043
 -0.02156023  0.00135677 -0.01949796  0.00331772]",9,"['ETH', 876, 882, 888, 894, 900, 906, 912, 918]","[0.38637227 0.55602665 0.41561595 0.55284002 0.44698564 0.5518265
 0.47770528 0.54864376 0.50577101 0.54775302 0.54242309 0.54443594
 0.57404087 0.54345052 0.60305363 0.54466547 0.75840935 0.64862769
 0.73218246 0.65228084 0.7095002  0.65167796 0.68432094 0.64915787
 0.66112418 0.65057841 0.6422718  0.65793884 0.62071157 0.65929561
 0.60121362 0.66261333]"
8,53.57425,-17.451607,"[ 0.03136969 -0.00101352  0.03071964 -0.00318274  0.02806573 -0.00089075
  0.03665208 -0.00331707  0.03161778 -0.00098542  0.02901275  0.00121495
  0.02844    -0.00090263 -0.02447025 -0.00076405 -0.02668114  0.00340533
 -0.02286674  0.0032359  -0.02764198 -0.00062781 -0.02362545  0.00121994
 -0.02380954  0.00332708 -0.02449637 -0.00294476]",9,"['ETH', 882, 888, 894, 900, 906, 912, 918, 924]","[0.41561595 0.55284002 0.44698564 0.5518265  0.47770528 0.54864376
 0.50577101 0.54775302 0.54242309 0.54443594 0.57404087 0.54345052
 0.60305363 0.54466547 0.63149363 0.54376284 0.75660159 0.61057448
 0.73213134 0.60981043 0.7054502  0.61321576 0.68258346 0.61645166
 0.65494148 0.61582385 0.63131602 0.61704379 0.60750648 0.62037087
 0.58301011 0.61742611]"
9,53.665985,-17.406086,"[ 0.03327092 -0.00295377  0.02819708 -0.00062061  0.03022209  0.00150374
  0.0318647  -0.00071961  0.0292384   0.00147305  0.02865772 -0.00066361
  0.03037261 -0.00070331 -0.02668114  0.00340533 -0.02286674  0.0032359
 -0.02764198 -0.00062781 -0.02362545  0.00121994 -0.02380954  0.00332708
 -0.02449637 -0.00294476 -0.02034182 -0.00320982]",9,"['ETH', 888, 894, 900, 906, 912, 918, 924, 930]","[0.43952497 0.51438753 0.47279588 0.51143376 0.50099297 0.51081315
 0.53121506 0.51231689 0.56307976 0.51159729 0.59231816 0.51307034
 0.62097588 0.51240673 0.65134849 0.51170341 0.73213134 0.60981043
 0.7054502  0.61321576 0.68258346 0.61645166 0.65494148 0.61582385
 0.63131602 0.61704379 0.60750648 0.62037087 0.58301011 0.61742611
 0.56266829 0.61421629]"
