,tsne_X,tsne_Y,pos,kmeans,frames,plotPos
0,44.034092,-29.96247,"[ 0.          0.         -0.01640646  0.00487936 -0.04036389  0.01222083
 -0.07089648  0.00645114 -0.0920784   0.00584628 -0.11922477  0.00954683
 -0.14299596  0.00907915 -0.16316782  0.00635499  0.          0.
 -0.02350184  0.00327239 -0.04740916  0.00458801 -0.0734805   0.01006242
 -0.09580005  0.01537879 -0.1184953   0.0187225  -0.141473    0.02210783
 -0.16271572  0.0233488 ]",3,"['ETH', 834, 840, 846, 852, 858, 864, 870, 876]","[0.92157717 0.6422727  0.90517071 0.64715206 0.88121327 0.65449353
 0.85068068 0.64872384 0.82949876 0.64811898 0.8023524  0.65181953
 0.7785812  0.65135185 0.75840935 0.64862769 0.81262409 0.61758445
 0.78912225 0.62085683 0.76521493 0.62217246 0.7391436  0.62764687
 0.71682405 0.63296324 0.6941288  0.63630695 0.6711511  0.63969228
 0.64990838 0.64093325]"
1,44.265827,-29.421362,"[ 0.          0.         -0.02395744  0.00734146 -0.05449003  0.00157178
 -0.07567195  0.00096691 -0.10281831  0.00466746 -0.12658951  0.00419979
 -0.14676136  0.00147563 -0.17298825  0.00512877  0.          0.
 -0.02390732  0.00131562 -0.04997865  0.00679004 -0.0722982   0.01210641
 -0.09499345  0.01545012 -0.11797115  0.01883544 -0.13921387  0.02007641
 -0.15842685  0.02327709]",3,"['ETH', 840, 846, 852, 858, 864, 870, 876, 882]","[0.90517071 0.64715206 0.88121327 0.65449353 0.85068068 0.64872384
 0.82949876 0.64811898 0.8023524  0.65181953 0.7785812  0.65135185
 0.75840935 0.64862769 0.73218246 0.65228084 0.78912225 0.62085683
 0.76521493 0.62217246 0.7391436  0.62764687 0.71682405 0.63296324
 0.6941288  0.63630695 0.6711511  0.63969228 0.64990838 0.64093325
 0.6306954  0.64413393]"
2,-11.971182,-51.26861,"[ 0.          0.          0.02906924 -0.00098896  0.05772701 -0.00196392
  0.08834952 -0.00528208  0.12119923 -0.00638091  0.15087749 -0.00961491
  0.18012116 -0.01280154  0.21149085 -0.01381506  0.          0.
 -0.02607133  0.00547441 -0.04839088  0.01079078 -0.07108614  0.01413449
 -0.09406383  0.01751982 -0.11530655  0.01876079 -0.13451953  0.02196147
 -0.1517501   0.02506526]",27,"['ETH', 846, 852, 858, 864, 870, 876, 882, 888]","[0.23549479 0.56564156 0.26456402 0.5646526  0.2932218  0.56367763
 0.32384431 0.56035948 0.35669402 0.55926064 0.38637227 0.55602665
 0.41561595 0.55284002 0.44698564 0.5518265  0.76521493 0.62217246
 0.7391436  0.62764687 0.71682405 0.63296324 0.6941288  0.63630695
 0.6711511  0.63969228 0.64990838 0.64093325 0.6306954  0.64413393
 0.61346483 0.64723771]"
3,35.708164,31.584332,"[ 0.          0.          0.02865777 -0.00097496  0.05928029 -0.00429312
  0.09213    -0.00539195  0.12180825 -0.00862595  0.15105192 -0.01181258
  0.18242161 -0.0128261   0.21314125 -0.01600883  0.          0.
  0.02882097 -0.00074994  0.05906466 -0.01069665  0.09211915 -0.01148101
  0.12197946 -0.0144449   0.15140073 -0.01736521  0.18295997 -0.01807791
  0.21623089 -0.02103169]",28,"['ETH', 852, 858, 864, 870, 876, 882, 888, 894]","[0.26456402 0.5646526  0.2932218  0.56367763 0.32384431 0.56035948
 0.35669402 0.55926064 0.38637227 0.55602665 0.41561595 0.55284002
 0.44698564 0.5518265  0.47770528 0.54864376 0.256565   0.53246544
 0.28538597 0.53171551 0.31562966 0.52176879 0.34868415 0.52098443
 0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376]"
4,35.593086,31.898972,"[ 0.          0.          0.03024369 -0.00994671  0.06329818 -0.01073108
  0.09315849 -0.01369496  0.12257976 -0.01661527  0.154139   -0.01732798
  0.18740992 -0.02028175  0.215607   -0.02090236  0.          0.
  0.03062252 -0.00331816  0.06347222 -0.00441699  0.09315048 -0.00765099
  0.12239415 -0.01083762  0.15376384 -0.01185114  0.18448348 -0.01503387
  0.21254921 -0.01592462]",28,"['ETH', 858, 864, 870, 876, 882, 888, 894, 900]","[0.28538597 0.53171551 0.31562966 0.52176879 0.34868415 0.52098443
 0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376 0.50099297 0.51081315 0.2932218  0.56367763
 0.32384431 0.56035948 0.35669402 0.55926064 0.38637227 0.55602665
 0.41561595 0.55284002 0.44698564 0.5518265  0.47770528 0.54864376
 0.50577101 0.54775302]"
5,-49.340137,-4.3133974,"[ 0.          0.         -0.02534385 -0.00068966 -0.05278125  0.00469458
 -0.07881103  0.00603867 -0.10328128  0.00527462 -0.12996242  0.00867995
 -0.15282916  0.01191585 -0.18047114  0.01128804  0.          0.
  0.03284971 -0.00109884  0.06252796 -0.00433283  0.09177164 -0.00751946
  0.12314133 -0.00853298  0.15386097 -0.01171572  0.18192669 -0.01260646
  0.21857878 -0.01592354]",33,"['ETH', 864, 870, 876, 882, 888, 894, 900, 906]","[0.83541262 0.60453581 0.81006876 0.60384615 0.78263137 0.60923039
 0.75660159 0.61057448 0.73213134 0.60981043 0.7054502  0.61321576
 0.68258346 0.61645166 0.65494148 0.61582385 0.32384431 0.56035948
 0.35669402 0.55926064 0.38637227 0.55602665 0.41561595 0.55284002
 0.44698564 0.5518265  0.47770528 0.54864376 0.50577101 0.54775302
 0.54242309 0.54443594]"
6,-12.221754,-51.709988,"[ 0.          0.          0.02986031 -0.00296389  0.05928158 -0.0058842
  0.09084082 -0.0065969   0.12411174 -0.00955067  0.15230882 -0.01017128
  0.18253091 -0.00866754  0.21439561 -0.00938714  0.          0.
 -0.02743739  0.00538424 -0.05346717  0.00672833 -0.07793742  0.00596428
 -0.10461856  0.00936961 -0.12748531  0.01260551 -0.15512729  0.0119777
 -0.17875274  0.01319764]",27,"['ETH', 870, 876, 882, 888, 894, 900, 906, 912]","[0.34868415 0.52098443 0.37854446 0.51802054 0.40796573 0.51510023
 0.43952497 0.51438753 0.47279588 0.51143376 0.50099297 0.51081315
 0.53121506 0.51231689 0.56307976 0.51159729 0.81006876 0.60384615
 0.78263137 0.60923039 0.75660159 0.61057448 0.73213134 0.60981043
 0.7054502  0.61321576 0.68258346 0.61645166 0.65494148 0.61582385
 0.63131602 0.61704379]"
7,36.099575,31.660955,"[ 0.          0.          0.02942127 -0.00292031  0.06098051 -0.00363302
  0.09425142 -0.00658679  0.12244851 -0.00720739  0.1526706  -0.00570365
  0.1845353  -0.00642326  0.2137737  -0.0049502   0.          0.
  0.02924368 -0.00318663  0.06061336 -0.00420015  0.091333   -0.00738289
  0.11939873 -0.00827363  0.15605082 -0.01159071  0.1876686  -0.01257613
  0.21668135 -0.01136118]",28,"['ETH', 876, 882, 888, 894, 900, 906, 912, 918]","[0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376 0.50099297 0.51081315 0.53121506 0.51231689
 0.56307976 0.51159729 0.59231816 0.51307034 0.38637227 0.55602665
 0.41561595 0.55284002 0.44698564 0.5518265  0.47770528 0.54864376
 0.50577101 0.54775302 0.54242309 0.54443594 0.57404087 0.54345052
 0.60305363 0.54466547]"
8,36.237885,31.756838,"[ 0.          0.          0.03155924 -0.0007127   0.06483015 -0.00366648
  0.09302724 -0.00428708  0.12324933 -0.00278334  0.15511403 -0.00350295
  0.18435243 -0.00202989  0.21301015 -0.0026935   0.          0.
  0.03136969 -0.00101352  0.06208933 -0.00419626  0.09015506 -0.005087
  0.12680714 -0.00840408  0.15842492 -0.0093895   0.18743768 -0.00817455
  0.21587768 -0.00907717]",28,"['ETH', 882, 888, 894, 900, 906, 912, 918, 924]","[0.40796573 0.51510023 0.43952497 0.51438753 0.47279588 0.51143376
 0.50099297 0.51081315 0.53121506 0.51231689 0.56307976 0.51159729
 0.59231816 0.51307034 0.62097588 0.51240673 0.41561595 0.55284002
 0.44698564 0.5518265  0.47770528 0.54864376 0.50577101 0.54775302
 0.54242309 0.54443594 0.57404087 0.54345052 0.60305363 0.54466547
 0.63149363 0.54376284]"
9,-49.130436,-4.3569417,"[ 0.          0.         -0.02668114  0.00340533 -0.04954789  0.00664123
 -0.07718987  0.00601342 -0.10081532  0.00723336 -0.12462486  0.01056044
 -0.14912123  0.00761568 -0.16946306  0.00440586  0.          0.
  0.03327092 -0.00295377  0.061468   -0.00357438  0.09169009 -0.00207064
  0.12355479 -0.00279024  0.1527932  -0.00131719  0.18145091 -0.0019808
  0.21182352 -0.00268411]",33,"['ETH', 888, 894, 900, 906, 912, 918, 924, 930]","[0.73213134 0.60981043 0.7054502  0.61321576 0.68258346 0.61645166
 0.65494148 0.61582385 0.63131602 0.61704379 0.60750648 0.62037087
 0.58301011 0.61742611 0.56266829 0.61421629 0.43952497 0.51438753
 0.47279588 0.51143376 0.50099297 0.51081315 0.53121506 0.51231689
 0.56307976 0.51159729 0.59231816 0.51307034 0.62097588 0.51240673
 0.65134849 0.51170341]"
