,tsne_X,tsne_Y,pos,kmeans,frames,plotPos
0,-2.9516888,-28.382074,"[ 1.41557660e-01  3.18436780e-01  2.11026300e-01  4.64419705e-01
 -3.28470983e-02  6.32134002e-01  4.50050575e-02  4.29499167e-01
  1.46976286e-01  5.38527550e-01  5.47188363e-02  4.81439247e-01
  4.16333634e-17  4.14735173e-01  1.28613735e-01  4.66045110e-01
  9.06655131e-02  4.79443341e-01  1.79471240e-01  5.12090445e-01
  1.66209057e-01  4.36722444e-01  1.27863431e-01  4.49561608e-01
  1.29454803e-01  4.55156424e-01  8.19965250e-02  4.25815208e-01]",1,"['ETH', 834, 840, 846, 852, 858, 864, 870, 876]","[-5.66437041e-01 -3.27919162e+00 -4.24879382e-01 -2.96075484e+00
 -2.13853082e-01 -2.49633514e+00 -2.46700180e-01 -1.86420114e+00
 -2.01695122e-01 -1.43470197e+00 -5.47188363e-02 -8.96174419e-01
 -4.16333634e-17 -4.14735173e-01  0.00000000e+00  0.00000000e+00
 -7.65443326e-01 -1.01256288e+00 -6.36829591e-01 -5.46517768e-01
 -5.46164077e-01 -6.70744272e-02 -3.66692837e-01  4.45016018e-01
 -2.00483780e-01  8.81738462e-01 -7.26203495e-02  1.33130007e+00
  5.68344535e-02  1.78645649e+00  1.38830979e-01  2.21227170e+00]"
1,-14.464709,-23.949457,"[ 7.98506306e-02  5.03826992e-01 -1.99855934e-01  6.00607971e-01
 -7.08947305e-02  4.25991698e-01 -1.60857888e-03  5.58221607e-01
 -7.53508782e-02  4.78644069e-01 -1.10349225e-01  3.99785333e-01
  1.11022302e-16  5.39527809e-01 -4.01689073e-02  4.86284496e-01
  3.67491998e-02  5.41383456e-01  4.40183549e-02  4.65203534e-01
  3.63882621e-03  4.67377209e-01  3.68421341e-03  4.73193769e-01
 -3.42564872e-02  4.32282911e-01  1.04587911e-02  3.96679724e-01]",13,"['ETH', 840, 846, 852, 858, 864, 870, 876, 882]","[ 3.78208716e-01 -3.50660548e+00  4.58059346e-01 -3.00277849e+00
  2.58203412e-01 -2.40217052e+00  1.87308682e-01 -1.97617882e+00
  1.85700103e-01 -1.41795721e+00  1.10349225e-01 -9.39313142e-01
 -1.11022302e-16 -5.39527809e-01  0.00000000e+00  0.00000000e+00
 -4.68461154e-01 -1.23578763e+00 -5.08630061e-01 -7.49503139e-01
 -4.71880861e-01 -2.08119683e-01 -4.27862506e-01  2.57083851e-01
 -4.24223680e-01  7.24461060e-01 -4.20539467e-01  1.19765483e+00
 -4.54795954e-01  1.62993774e+00 -4.44337163e-01  2.02661746e+00]"
2,55.85357,39.39694,"[-0.09117044 -0.49034695 -0.05543446 -0.57503613  0.02280436 -0.58599019
  0.02539581 -0.51605962 -0.09588038 -0.56144076 -0.01521839 -0.53094788
  0.02649573 -0.49822696 -0.09831573 -0.53364835 -0.09684032 -0.45713663
 -0.05697295 -0.463906   -0.05768209 -0.46967935 -0.01531888 -0.43336746
 -0.05567718 -0.39289215 -0.05462837 -0.35245791]",3,"['ETH', 846, 852, 858, 864, 870, 876, 882, 888]","[-1.87019933  9.67693636 -1.96136977  9.18658941 -2.01680423  8.61155328
 -1.99399987  8.02556308 -1.96860406  7.50950347 -2.06448444  6.94806271
 -2.07970283  6.41711483 -2.0532071   5.91888787 -2.3170079   6.58740187
 -2.41532363  6.05375351 -2.51216395  5.59661688 -2.5691369   5.13271088
 -2.62681898  4.66303153 -2.64213786  4.22966407 -2.69781504  3.83677192
 -2.7524434   3.48431401]"
3,-49.52334,26.346285,"[-0.06686868 -0.46247219 -0.02664514 -0.46663126 -0.02697684 -0.47243853
  0.01293204 -0.43344525 -0.02997613 -0.39568374 -0.03156239 -0.35526701
 -0.11482936 -0.40567927 -0.03146593  0.58351575  0.01202104  0.62752325
 -0.03644437  0.66883701  0.01201435  0.60820514  0.01183831  0.59929918
 -0.03552044  0.63864007  0.00913276  0.62925696]",6,"['ETH', 852, 858, 864, 870, 876, 882, 888, 894]","[-2.80438367  5.2029846  -2.87125235  4.74051242 -2.89789749  4.27388116
 -2.92487433  3.80144262 -2.91194228  3.36799737 -2.94191841  2.97231364
 -2.97348081  2.61704662 -3.08831016  2.21136735 -0.69643027 -4.32103146
 -0.72789621 -3.73751571 -0.71587517 -3.10999246 -0.75231954 -2.44115545
 -0.74030519 -1.83295031 -0.72846689 -1.23365113 -0.76398732 -0.59501106
 -0.75485457  0.0342459 ]"
4,-50.767735,26.541428,"[-0.06244513 -0.55472025  0.01993994 -0.48412839  0.06375442 -0.40980561
 -0.06189841 -0.53596534  0.0221784  -0.46188239  0.06186554 -0.51191968
 -0.0183123  -0.47325046  0.05321032  0.62537876  0.00756302  0.66978649
  0.05193485  0.6061028   0.05117425  0.59722764  0.00650165  0.63959407
  0.05044215  0.62729843  0.0054944   0.57222287]",6,"['ETH', 858, 864, 870, 876, 882, 888, 894, 900]","[-2.90859324  6.63317053 -2.97103838  6.07845028 -2.95109844  5.59432189
 -2.88734401  5.18451628 -2.94924242  4.64855094 -2.92706403  4.18666855
 -2.86519849  3.67474888 -2.88351079  3.20149841 -0.97180166 -4.25641902
 -0.91859134 -3.63104026 -0.91102832 -2.96125378 -0.85909347 -2.35515097
 -0.80791922 -1.75792333 -0.80141758 -1.11832927 -0.75097543 -0.49103084
 -0.74548104  0.08119203]"
5,-49.98094,27.353224,"[-1.43762757e-02 -4.84325533e-01  3.45888241e-02 -4.13290306e-01
 -9.96783520e-02 -5.30240024e-01 -1.05688828e-02 -4.62293759e-01
  2.54771254e-02 -5.15014581e-01 -5.17626551e-02 -4.70767425e-01
 -1.66833320e-01 -3.76468855e-01  4.88336583e-02  6.72050323e-01
  8.94559205e-02  6.04879485e-01  8.81406982e-02  5.95985782e-01
  4.58972843e-02  6.41685233e-01  9.26642232e-02  6.74312460e-01
  4.06825298e-02  5.73339513e-01 -1.73472348e-17  6.16657380e-01]",6,"['ETH', 864, 870, 876, 882, 888, 894, 900, 906]","[-2.53335934e+00  5.65683585e+00 -2.54773561e+00  5.17251032e+00
 -2.51314679e+00  4.75922001e+00 -2.61282514e+00  4.22897999e+00
 -2.62339402e+00  3.76668623e+00 -2.59791690e+00  3.25167165e+00
 -2.64967955e+00  2.78090422e+00 -2.81651287e+00  2.40443537e+00
 -4.05674314e-01 -4.37891018e+00 -3.56840656e-01 -3.70685985e+00
 -2.67384736e-01 -3.10198037e+00 -1.79244037e-01 -2.50599459e+00
 -1.33346753e-01 -1.86430935e+00 -4.06825298e-02 -1.18999689e+00
  1.73472348e-17 -6.16657380e-01  0.00000000e+00  0.00000000e+00]"
6,45.30478,-23.579218,"[ 0.05159165  0.60613211  0.05083608  0.59725652  0.00613949  0.63959765
  0.05008694  0.62732689  0.00517039  0.57222588  0.05009428  0.74825793
  0.00546138  0.64463988 -0.01531885 -0.43336746 -0.05567715 -0.39289215
 -0.05462834 -0.35245791 -0.14100115 -0.39734132 -0.05604473 -0.35924118
 -0.05118676 -0.22556221 -0.17891398 -0.22155504]",18,"['ETH', 870, 876, 882, 888, 894, 900, 906, 912]","[-0.86535664 -4.22640657 -0.813765   -3.62027445 -0.76292892 -3.02301793
 -0.75678943 -2.38342028 -0.70670249 -1.75609339 -0.7015321  -1.18386751
 -0.65143783 -0.43560958 -0.64597644  0.2090303  -2.62681904  2.14440777
 -2.64213788  1.71104031 -2.69781503  1.31814816 -2.75244337  0.96569024
 -2.89344453  0.56834892 -2.94948926  0.20910774 -3.00067602 -0.01645447
 -3.17959    -0.23800951]"
7,-12.31442,-47.444603,"[9.36814416e-02 5.92050203e-01 5.21474861e-02 6.37497830e-01
 9.50980429e-02 6.22096530e-01 4.63329856e-02 5.70370450e-01
 1.03807263e-01 7.42713546e-01 5.18339644e-02 6.42575787e-01
 4.96023766e-03 5.91753028e-01 8.85073388e-02 5.95931444e-01
 4.62920478e-02 6.41656875e-01 9.30790504e-02 6.74255324e-01
 4.10352471e-02 5.73314377e-01 3.79374683e-04 6.16657263e-01
 4.67401628e-02 6.47867579e-01 4.51028104e-17 5.96604137e-01]",5,"['ETH', 876, 882, 888, 894, 900, 906, 912, 918]","[-1.07216174e+00 -4.14893714e+00 -9.78480297e-01 -3.55688694e+00
 -9.26332811e-01 -2.91938911e+00 -8.31234768e-01 -2.29729258e+00
 -7.84901782e-01 -1.72692213e+00 -6.81094519e-01 -9.84208583e-01
 -6.29260554e-01 -3.41632796e-01 -6.24300317e-01  2.50120232e-01
 -3.16033222e-01 -4.34628700e+00 -2.27525883e-01 -3.75035556e+00
 -1.81233835e-01 -3.10869868e+00 -8.81547846e-02 -2.43444336e+00
 -4.71195375e-02 -1.86112898e+00 -4.67401628e-02 -1.24447172e+00
 -4.51028104e-17 -5.96604137e-01  0.00000000e+00  0.00000000e+00]"
8,55.900536,40.008663,"[ 0.02677771 -0.49821188 -0.05609312 -0.5451761  -0.05446104 -0.46738254
  0.02551409 -0.56289628 -0.01354    -0.48191288 -0.05585653 -0.48663328
  0.07067261 -0.4977405   0.02270129 -0.46185698  0.06244506 -0.51184931
 -0.01777651 -0.47327089 -0.13933015 -0.38749099 -0.01725584 -0.43989836
 -0.05767729 -0.39878365 -0.05645367 -0.35776035]",3,"['ETH', 882, 888, 894, 900, 906, 912, 918, 924]","[-2.03864191  2.71809487 -2.01186419  2.21988299 -2.06795731  1.6747069
 -2.12241835  1.20732435 -2.09690426  0.64442807 -2.11044426  0.16251519
 -2.16630079 -0.3241181  -2.09562818 -0.8218586  -2.86652592  2.20137802
 -2.84382463  1.73952104 -2.78137957  1.22767173 -2.79915608  0.75440084
 -2.93848622  0.36690985 -2.95574206 -0.07298851 -3.01341935 -0.47177216
 -3.06987302 -0.82953251]"
9,-20.542702,-44.0821,"[ 4.39357153e-02  6.79230156e-01 -6.50623524e-04  5.74780691e-01
 -4.43427481e-02  6.15061009e-01 -3.67465839e-04  6.49551313e-01
 -4.32668341e-02  5.95033174e-01  1.06739979e-07  5.84185528e-01
  5.55111512e-17  6.19143465e-01  4.97320436e-02  6.27355126e-01
  4.84666403e-03  5.72228718e-01  4.96709624e-02  7.48286145e-01
  5.09669339e-03  6.44642867e-01 -3.79678462e-02  5.90554563e-01
  4.91130016e-03  5.79859691e-01  5.20562284e-03  6.14605404e-01]",15,"['ETH', 888, 894, 900, 906, 912, 918, 924, 930]","[ 4.46918495e-02 -4.31698534e+00  8.86275648e-02 -3.63775518e+00
  8.79769413e-02 -3.06297449e+00  4.36341932e-02 -2.44791348e+00
  4.32667274e-02 -1.79836217e+00 -1.06739979e-07 -1.20332899e+00
 -5.55111512e-17 -6.19143465e-01  0.00000000e+00  0.00000000e+00
 -7.12174229e-01 -4.18221020e+00 -6.62442186e-01 -3.55485508e+00
 -6.57595522e-01 -2.98262636e+00 -6.07924559e-01 -2.23434021e+00
 -6.02827866e-01 -1.58969735e+00 -6.40795712e-01 -9.99142785e-01
 -6.35884412e-01 -4.19283093e-01 -6.30678789e-01  1.95322311e-01]"
