,tsne_X,tsne_Y,pos,kmeans,frames,plotPos
0,49.995026,2.9501286,"[ 0.00621022 -0.00563842  0.23816146 -0.01676902  0.22650904  0.53175307
  0.00612156 -0.0066455   0.23730999 -0.01131091  0.23485212  0.56605129
  0.01884386  0.0145174  -0.20996667 -0.01278516  0.87951009  0.65251068
  0.03580974 -0.0167747  -0.20544937  0.04183857  0.76515876  0.62266829
  0.00762443 -0.01062139 -0.21979069  0.02352641  0.91777992  0.59776182]",12,"['ETH', 846, 852, 858, 864, 870, 876, 882, 888]","[0.22692238 0.52855644 0.256565   0.53246544 0.28538597 0.53171551
 0.31562966 0.52176879 0.34868415 0.52098443 0.37854446 0.51802054
 0.40796573 0.51510023 0.43952497 0.51438753 0.23549479 0.56564156
 0.26456402 0.5646526  0.2932218  0.56367763 0.32384431 0.56035948
 0.35669402 0.55926064 0.38637227 0.55602665 0.41561595 0.55284002
 0.44698564 0.5518265  0.88121327 0.65449353 0.85068068 0.64872384
 0.82949876 0.64811898 0.8023524  0.65181953 0.7785812  0.65135185
 0.75840935 0.64862769 0.73218246 0.65228084 0.7095002  0.65167796
 0.76521493 0.62217246 0.7391436  0.62764687 0.71682405 0.63296324
 0.6941288  0.63630695 0.6711511  0.63969228 0.64990838 0.64093325
 0.6306954  0.64413393 0.61346483 0.64723771 0.91628771 0.59655733
 0.89233277 0.60162888 0.86418418 0.60501929 0.83541262 0.60453581
 0.81006876 0.60384615 0.78263137 0.60923039 0.75660159 0.61057448
 0.73213134 0.60981043]"
1,49.639668,2.8681266,"[ 0.00895538  0.01819637  0.23894306 -0.04038195  0.25615065  0.53342606
  0.00090678 -0.0028405   0.24356858 -0.01628694  0.26381621  0.56506314
 -0.00173219 -0.01037328 -0.18850268  0.01093309  0.85113432  0.64827304
  0.03177628  0.00458955 -0.19384764  0.0231589   0.7397999   0.62906246
  0.01571544  0.00305852 -0.22635222  0.009568    0.89208351  0.60221033]",12,"['ETH', 852, 858, 864, 870, 876, 882, 888, 894]","[0.256565   0.53246544 0.28538597 0.53171551 0.31562966 0.52176879
 0.34868415 0.52098443 0.37854446 0.51802054 0.40796573 0.51510023
 0.43952497 0.51438753 0.47279588 0.51143376 0.26456402 0.5646526
 0.2932218  0.56367763 0.32384431 0.56035948 0.35669402 0.55926064
 0.38637227 0.55602665 0.41561595 0.55284002 0.44698564 0.5518265
 0.47770528 0.54864376 0.85068068 0.64872384 0.82949876 0.64811898
 0.8023524  0.65181953 0.7785812  0.65135185 0.75840935 0.64862769
 0.73218246 0.65228084 0.7095002  0.65167796 0.68432094 0.64915787
 0.7391436  0.62764687 0.71682405 0.63296324 0.6941288  0.63630695
 0.6711511  0.63969228 0.64990838 0.64093325 0.6306954  0.64413393
 0.61346483 0.64723771 0.59412695 0.65468125 0.89233277 0.60162888
 0.86418418 0.60501929 0.83541262 0.60453581 0.81006876 0.60384615
 0.78263137 0.60923039 0.75660159 0.61057448 0.73213134 0.60981043
 0.7054502  0.61321576]"
2,49.40315,2.507131,"[-0.00156198  0.02254606  0.24870234 -0.04074711  0.2853103   0.52968991
 -0.01008796  0.00435163  0.25237628 -0.02243053  0.29312009  0.56367192
  0.00145931 -0.00829446 -0.19196731  0.00807091  0.82808285  0.64918863
  0.03242422  0.01548396 -0.18780865  0.01426165  0.71665837  0.63375307
  0.01732235  0.01068729 -0.22285793  0.0042356   0.86389671  0.60431011]",12,"['ETH', 858, 864, 870, 876, 882, 888, 894, 900]","[0.28538597 0.53171551 0.31562966 0.52176879 0.34868415 0.52098443
 0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376 0.50099297 0.51081315 0.2932218  0.56367763
 0.32384431 0.56035948 0.35669402 0.55926064 0.38637227 0.55602665
 0.41561595 0.55284002 0.44698564 0.5518265  0.47770528 0.54864376
 0.50577101 0.54775302 0.82949876 0.64811898 0.8023524  0.65181953
 0.7785812  0.65135185 0.75840935 0.64862769 0.73218246 0.65228084
 0.7095002  0.65167796 0.68432094 0.64915787 0.66112418 0.65057841
 0.71682405 0.63296324 0.6941288  0.63630695 0.6711511  0.63969228
 0.64990838 0.64093325 0.6306954  0.64413393 0.61346483 0.64723771
 0.59412695 0.65468125 0.57656516 0.65786291 0.86418418 0.60501929
 0.83541262 0.60453581 0.81006876 0.60384615 0.78263137 0.60923039
 0.75660159 0.61057448 0.73213134 0.60981043 0.7054502  0.61321576
 0.68258346 0.61645166]"
3,48.967045,2.7670708,"[-0.00528928  0.01317931  0.25081435 -0.02462645  0.31613412  0.52277352
  0.00803666  0.00123344  0.23875888 -0.01938069  0.32527191  0.56078504
  0.00589357  0.02174789 -0.19113752 -0.0152241   0.80310396  0.65239298
  0.04289597  0.01241461 -0.18586873  0.01824565  0.69403776  0.63631084
  0.00656057 -0.0024562  -0.21114415  0.01674307  0.83555926  0.60378259]",12,"['ETH', 864, 870, 876, 882, 888, 894, 900, 906]","[0.31562966 0.52176879 0.34868415 0.52098443 0.37854446 0.51802054
 0.40796573 0.51510023 0.43952497 0.51438753 0.47279588 0.51143376
 0.50099297 0.51081315 0.53121506 0.51231689 0.32384431 0.56035948
 0.35669402 0.55926064 0.38637227 0.55602665 0.41561595 0.55284002
 0.44698564 0.5518265  0.47770528 0.54864376 0.50577101 0.54775302
 0.54242309 0.54443594 0.8023524  0.65181953 0.7785812  0.65135185
 0.75840935 0.64862769 0.73218246 0.65228084 0.7095002  0.65167796
 0.68432094 0.64915787 0.66112418 0.65057841 0.6422718  0.65793884
 0.6941288  0.63630695 0.6711511  0.63969228 0.64990838 0.64093325
 0.6306954  0.64413393 0.61346483 0.64723771 0.59412695 0.65468125
 0.57656516 0.65786291 0.56555588 0.66065517 0.83541262 0.60453581
 0.81006876 0.60384615 0.78263137 0.60923039 0.75660159 0.61057448
 0.73213134 0.60981043 0.7054502  0.61321576 0.68258346 0.61645166
 0.65494148 0.61582385]"
4,48.616524,2.5886583,"[ 0.00138154  0.019643    0.24416972 -0.02766794  0.34814836  0.52106532
  0.02145683  0.0058325   0.22911736 -0.02291945  0.35709507  0.55896207
  0.01779238  0.026035   -0.19881873 -0.01377732  0.7805058   0.65152227
  0.05255695  0.01994604 -0.18097477  0.01663326  0.67184925  0.6391419
  0.0083061  -0.00949545 -0.21093014  0.0222502   0.80947627  0.60486151]",12,"['ETH', 870, 876, 882, 888, 894, 900, 906, 912]","[0.34868415 0.52098443 0.37854446 0.51802054 0.40796573 0.51510023
 0.43952497 0.51438753 0.47279588 0.51143376 0.50099297 0.51081315
 0.53121506 0.51231689 0.56307976 0.51159729 0.35669402 0.55926064
 0.38637227 0.55602665 0.41561595 0.55284002 0.44698564 0.5518265
 0.47770528 0.54864376 0.50577101 0.54775302 0.54242309 0.54443594
 0.57404087 0.54345052 0.7785812  0.65135185 0.75840935 0.64862769
 0.73218246 0.65228084 0.7095002  0.65167796 0.68432094 0.64915787
 0.66112418 0.65057841 0.6422718  0.65793884 0.62071157 0.65929561
 0.6711511  0.63969228 0.64990838 0.64093325 0.6306954  0.64413393
 0.61346483 0.64723771 0.59412695 0.65468125 0.57656516 0.65786291
 0.56555588 0.66065517 0.55488294 0.66978705 0.81006876 0.60384615
 0.78263137 0.60923039 0.75660159 0.61057448 0.73213134 0.60981043
 0.7054502  0.61321576 0.68258346 0.61645166 0.65494148 0.61582385
 0.63131602 0.61704379]"
5,48.52259,2.060194,"[-0.005364    0.02018511  0.24995573 -0.02328089  0.37791571  0.51800849
  0.0114402   0.01156729  0.23982527 -0.02436311  0.38594423  0.55620116
  0.03341454  0.02389783 -0.20853358 -0.00632235  0.75831342  0.65025279
  0.05390698  0.04835552 -0.17027508  0.00512186  0.65071031  0.64239265
  0.00666509  0.00365225 -0.20647371  0.0093382   0.782655    0.60898103]",12,"['ETH', 876, 882, 888, 894, 900, 906, 912, 918]","[0.37854446 0.51802054 0.40796573 0.51510023 0.43952497 0.51438753
 0.47279588 0.51143376 0.50099297 0.51081315 0.53121506 0.51231689
 0.56307976 0.51159729 0.59231816 0.51307034 0.38637227 0.55602665
 0.41561595 0.55284002 0.44698564 0.5518265  0.47770528 0.54864376
 0.50577101 0.54775302 0.54242309 0.54443594 0.57404087 0.54345052
 0.60305363 0.54466547 0.75840935 0.64862769 0.73218246 0.65228084
 0.7095002  0.65167796 0.68432094 0.64915787 0.66112418 0.65057841
 0.6422718  0.65793884 0.62071157 0.65929561 0.60121362 0.66261333
 0.64990838 0.64093325 0.6306954  0.64413393 0.61346483 0.64723771
 0.59412695 0.65468125 0.57656516 0.65786291 0.56555588 0.66065517
 0.55488294 0.66978705 0.54244164 0.68755414 0.78263137 0.60923039
 0.75660159 0.61057448 0.73213134 0.60981043 0.7054502  0.61321576
 0.68258346 0.61645166 0.65494148 0.61582385 0.63131602 0.61704379
 0.60750648 0.62037087]"
6,47.976677,2.1113434,"[-0.01304102  0.01343362  0.25485001 -0.01398739  0.40817758  0.51508696
 -0.00624863  0.01351785  0.25471922 -0.02308928  0.41490509  0.55357753
  0.03428594  0.02783854 -0.2005053  -0.00652535  0.73272744  0.65141356
  0.06802823  0.03535275 -0.16745711  0.0220017   0.63161752  0.64442985
  0.00723672 -0.00989364 -0.20521872  0.0192874   0.75699698  0.60935667]",12,"['ETH', 882, 888, 894, 900, 906, 912, 918, 924]","[0.40796573 0.51510023 0.43952497 0.51438753 0.47279588 0.51143376
 0.50099297 0.51081315 0.53121506 0.51231689 0.56307976 0.51159729
 0.59231816 0.51307034 0.62097588 0.51240673 0.41561595 0.55284002
 0.44698564 0.5518265  0.47770528 0.54864376 0.50577101 0.54775302
 0.54242309 0.54443594 0.57404087 0.54345052 0.60305363 0.54466547
 0.63149363 0.54376284 0.73218246 0.65228084 0.7095002  0.65167796
 0.68432094 0.64915787 0.66112418 0.65057841 0.6422718  0.65793884
 0.62071157 0.65929561 0.60121362 0.66261333 0.58372672 0.66582368
 0.6306954  0.64413393 0.61346483 0.64723771 0.59412695 0.65468125
 0.57656516 0.65786291 0.56555588 0.66065517 0.55488294 0.66978705
 0.54244164 0.68755414 0.53791925 0.68786671 0.75660159 0.61057448
 0.73213134 0.60981043 0.7054502  0.61321576 0.68258346 0.61645166
 0.65494148 0.61582385 0.63131602 0.61704379 0.60750648 0.62037087
 0.58301011 0.61742611]"
7,47.68329,1.5469054,"[-0.00819869  0.00581171  0.24807908 -0.00583495  0.44023863  0.51317979
 -0.01494512  0.01453229  0.2602172  -0.02202959  0.44563039  0.55158229
  0.04081534 -0.00967957 -0.19726037  0.02586545  0.70897319  0.64853082
  0.05571965 -0.03755125 -0.1448649   0.0757285   0.61196175  0.64456872
  0.01923825 -0.02894358 -0.21181425  0.03150376  0.7323592   0.60967621]",12,"['ETH', 888, 894, 900, 906, 912, 918, 924, 930]","[0.43952497 0.51438753 0.47279588 0.51143376 0.50099297 0.51081315
 0.53121506 0.51231689 0.56307976 0.51159729 0.59231816 0.51307034
 0.62097588 0.51240673 0.65134849 0.51170341 0.44698564 0.5518265
 0.47770528 0.54864376 0.50577101 0.54775302 0.54242309 0.54443594
 0.57404087 0.54345052 0.60305363 0.54466547 0.63149363 0.54376284
 0.66163778 0.54280613 0.7095002  0.65167796 0.68432094 0.64915787
 0.66112418 0.65057841 0.6422718  0.65793884 0.62071157 0.65929561
 0.60121362 0.66261333 0.58372672 0.66582368 0.56778878 0.66051591
 0.61346483 0.64723771 0.59412695 0.65468125 0.57656516 0.65786291
 0.56555588 0.66065517 0.55488294 0.66978705 0.54244164 0.68755414
 0.53791925 0.68786671 0.52559695 0.67381118 0.73213134 0.60981043
 0.7054502  0.61321576 0.68258346 0.61645166 0.65494148 0.61582385
 0.63131602 0.61704379 0.60750648 0.62037087 0.58301011 0.61742611
 0.56266829 0.61421629]"
8,47.265163,1.2169966,"[ 0.00534622  0.00967896  0.23593262 -0.00403852  0.47236703  0.5116873
 -0.00288361  0.04512485  0.25204018 -0.03695868  0.47732777  0.55028037
  0.05393388 -0.04861897 -0.19405104  0.05497614  0.6851166   0.64708993
  0.03202897 -0.04669608 -0.11269271  0.07815677  0.59232541  0.65073167
  0.0153124  -0.02112219 -0.20507185  0.01968628  0.70619429  0.61341352]",12,"['ETH', 894, 900, 906, 912, 918, 924, 930, 936]","[0.47279588 0.51143376 0.50099297 0.51081315 0.53121506 0.51231689
 0.56307976 0.51159729 0.59231816 0.51307034 0.62097588 0.51240673
 0.65134849 0.51170341 0.68366909 0.51719477 0.47770528 0.54864376
 0.50577101 0.54775302 0.54242309 0.54443594 0.57404087 0.54345052
 0.60305363 0.54466547 0.63149363 0.54376284 0.66163778 0.54280613
 0.69832963 0.5560805  0.68432094 0.64915787 0.66112418 0.65057841
 0.6422718  0.65793884 0.62071157 0.65929561 0.60121362 0.66261333
 0.58372672 0.66582368 0.56778878 0.66051591 0.55857692 0.65685829
 0.59412695 0.65468125 0.57656516 0.65786291 0.56555588 0.66065517
 0.55488294 0.66978705 0.54244164 0.68755414 0.53791925 0.68786671
 0.52559695 0.67381118 0.51715338 0.68503593 0.7054502  0.61321576
 0.68258346 0.61645166 0.65494148 0.61582385 0.63131602 0.61704379
 0.60750648 0.62037087 0.58301011 0.61742611 0.56266829 0.61421629
 0.53782274 0.61545702]"
9,46.87982,0.98323333,"[ 0.00148309  0.01431858  0.24066386 -0.00509808  0.50139348  0.51176853
 -0.00241383  0.05084161  0.25188853 -0.03299126  0.50848618  0.54803639
  0.05902771 -0.04349187 -0.18556986  0.04434368  0.6626237   0.65167009
  0.02029202 -0.02642298 -0.09323207  0.06283968  0.57664493  0.65733658
  0.00406986  0.00439524 -0.19591795 -0.00199468  0.68091037  0.61690991]",12,"['ETH', 900, 906, 912, 918, 924, 930, 936, 942]","[0.50099297 0.51081315 0.53121506 0.51231689 0.56307976 0.51159729
 0.59231816 0.51307034 0.62097588 0.51240673 0.65134849 0.51170341
 0.68366909 0.51719477 0.71311616 0.51852428 0.50577101 0.54775302
 0.54242309 0.54443594 0.57404087 0.54345052 0.60305363 0.54466547
 0.63149363 0.54376284 0.66163778 0.54280613 0.69832963 0.5560805
 0.72746945 0.55708331 0.66112418 0.65057841 0.6422718  0.65793884
 0.62071157 0.65929561 0.60121362 0.66261333 0.58372672 0.66582368
 0.56778878 0.66051591 0.55857692 0.65685829 0.54520464 0.65980106
 0.57656516 0.65786291 0.56555588 0.66065517 0.55488294 0.66978705
 0.54244164 0.68755414 0.53791925 0.68786671 0.52559695 0.67381118
 0.51715338 0.68503593 0.51112076 0.69825816 0.68258346 0.61645166
 0.65494148 0.61582385 0.63131602 0.61704379 0.60750648 0.62037087
 0.58301011 0.61742611 0.56266829 0.61421629 0.53782274 0.61545702
 0.51062441 0.62112288]"
